RAOPeriodOrFreq,RAOSurgeAmp,RAOSurgePhase,RAOSwayAmp,RAOSwayPhase,RAOHeaveAmp,RAOHeavePhase,RAORollAmp,RAORollPhase,RAOPitchAmp,RAOPitchPhase,RAOYawAmp,RAOYawPhase,dir
3.99,0.014,-158.217,0.001,179.366,0.008,18.299,0.011,-57.2,0.02,-163.469,0.005,121.005,-170.0
3.932,0.013,177.098,0.001,89.45,0.008,-9.645,0.015,-62.571,0.017,172.844,0.004,123.698,-170.0
3.876,0.012,151.757,0.003,62.167,0.007,-34.139,0.017,-65.975,0.014,145.116,0.002,126.739,-170.0
3.822,0.01,125.419,0.003,51.438,0.007,-56.455,0.016,-69.916,0.013,113.893,0.0,-90.944,-170.0
3.771,0.01,98.681,0.003,43.011,0.006,-79.043,0.012,-76.776,0.013,83.468,0.002,-62.827,-170.0
3.722,0.009,72.979,0.003,32.281,0.005,-103.485,0.007,-94.841,0.013,57.919,0.004,-63.439,-170.0
3.674,0.009,48.088,0.002,11.821,0.005,-131.492,0.004,-160.994,0.012,35.825,0.004,-66.248,-170.0
3.629,0.008,23.67,0.001,-37.642,0.004,-162.262,0.007,148.386,0.011,14.464,0.004,-71.337,-170.0
3.584,0.007,-0.503,0.002,-89.116,0.004,168.742,0.01,133.339,0.01,-8.369,0.003,-81.845,-170.0
3.542,0.007,-25.741,0.002,-111.79,0.004,143.278,0.012,124.931,0.008,-35.665,0.002,-113.897,-170.0
3.501,0.006,-52.395,0.002,-125.175,0.004,120.289,0.011,117.124,0.007,-68.064,0.002,171.16,-170.0
3.461,0.006,-79.169,0.002,-137.183,0.004,98.105,0.009,106.331,0.007,-99.845,0.003,140.302,-170.0
3.423,0.005,-105.488,0.002,-152.515,0.003,73.956,0.006,85.275,0.007,-126.676,0.003,127.583,-170.0
3.386,0.005,-130.823,0.001,-178.935,0.003,45.461,0.004,37.406,0.007,-149.218,0.004,118.016,-170.0
3.35,0.005,-154.86,0.001,135.987,0.002,13.813,0.005,-10.056,0.007,-170.003,0.003,107.066,-170.0
3.315,0.004,-179.031,0.001,97.59,0.002,-16.626,0.007,-31.833,0.006,167.411,0.002,89.316,-170.0
3.282,0.004,155.302,0.002,76.412,0.002,-42.864,0.008,-44.705,0.005,139.344,0.001,50.291,-170.0
3.249,0.003,128.313,0.002,62.101,0.002,-65.564,0.008,-56.112,0.004,105.483,0.002,-5.122,-170.0
3.217,0.003,100.644,0.002,48.958,0.002,-87.62,0.006,-70.375,0.004,72.341,0.002,-33.816,-170.0
3.186,0.003,73.61,0.001,32.683,0.002,-112.334,0.005,-93.988,0.005,45.539,0.003,-49.006,-170.0
3.156,0.003,48.54,0.001,5.483,0.002,-141.999,0.004,-135.256,0.005,23.754,0.002,-61.218,-170.0
3.127,0.003,24.676,0.001,-39.491,0.001,-175.111,0.004,-176.084,0.004,3.142,0.002,-75.267,-170.0
3.099,0.003,0.271,0.001,-77.097,0.002,154.221,0.005,160.006,0.004,-20.357,0.001,-98.005,-170.0
3.071,0.002,-25.705,0.001,-97.998,0.002,128.836,0.006,144.253,0.003,-50.494,0.001,-145.01,-170.0
3.045,0.002,-53.587,0.001,-111.906,0.002,106.559,0.006,130.174,0.003,-86.221,0.001,164.511,-170.0
3.018,0.002,-82.256,0.001,-124.172,0.001,83.957,0.005,113.397,0.003,-118.515,0.002,139.502,-170.0
2.993,0.002,-109.253,0.001,-138.947,0.001,57.716,0.004,88.289,0.003,-143.519,0.002,124.203,-170.0
2.968,0.002,-133.947,0.0,-165.032,0.001,26.18,0.003,50.471,0.003,-164.549,0.002,110.466,-170.0
2.944,0.002,-157.806,0.0,143.473,0.001,-6.979,0.003,13.509,0.003,174.177,0.001,93.474,-170.0
2.92,0.002,177.62,0.0,100.624,0.001,-35.839,0.004,-11.124,0.002,148.547,0.001,64.801,-170.0
2.897,0.002,151.117,0.001,80.417,0.001,-59.979,0.004,-28.54,0.002,115.687,0.001,14.801,-170.0
2.874,0.002,122.451,0.001,68.3,0.001,-82.337,0.004,-44.084,0.002,80.213,0.001,-26.531,-170.0
2.852,0.002,93.678,0.001,58.337,0.001,-106.174,0.004,-61.729,0.002,50.68,0.001,-48.781,-170.0
2.831,0.002,67.006,0.0,46.756,0.001,-134.329,0.003,-86.259,0.002,27.304,0.001,-64.219,-170.0
2.81,0.002,42.265,0.0,24.856,0.001,-166.712,0.002,-121.282,0.002,6.237,0.001,-78.982,-170.0
2.789,0.001,18.094,0.0,-37.373,0.001,161.638,0.002,-157.456,0.002,-16.401,0.001,-97.54,-170.0
2.769,0.001,-6.93,0.0,-88.055,0.001,134.55,0.003,176.422,0.002,-44.292,0.001,-126.942,-170.0
2.749,0.001,-33.926,0.0,-104.975,0.001,111.034,0.003,157.75,0.001,-78.309,0.001,-170.868,-170.0
2.73,0.001,-62.602,0.0,-113.669,0.001,88.303,0.003,141.652,0.002,-111.964,0.001,152.058,-170.0
2.711,0.001,-90.984,0.0,-120.087,0.001,63.481,0.003,124.409,0.002,-139.485,0.001,129.394,-170.0
2.693,0.001,-117.602,0.0,-126.727,0.001,34.442,0.002,101.803,0.002,-162.187,0.001,113.049,-170.0
2.674,0.001,-142.659,0.0,-138.253,0.001,2.306,0.002,69.538,0.002,176.477,0.001,97.708,-170.0
2.657,0.001,-167.24,0.0,173.436,0.001,-28.193,0.002,32.366,0.001,152.908,0.001,79.304,-170.0
2.639,0.001,167.349,0.0,94.596,0.001,-54.21,0.002,3.074,0.001,123.771,0.001,51.921,-170.0
2.622,0.001,140.255,0.0,79.34,0.001,-77.047,0.002,-17.532,0.001,89.309,0.0,11.009,-170.0
2.605,0.001,111.945,0.0,75.361,0.001,-99.574,0.002,-33.935,0.001,56.878,0.001,-27.076,-170.0
2.589,0.001,83.999,0.0,74.857,0.0,-124.74,0.002,-49.971,0.001,30.854,0.001,-51.581,-170.0
2.573,0.001,57.557,0.0,75.726,0.0,-154.588,0.002,-69.083,0.001,9.306,0.001,-68.886,-170.0
2.557,0.001,32.393,0.0,76.79,0.0,173.001,0.001,-97.036,0.001,-11.706,0.001,-84.464,-170.0
2.541,0.001,7.498,0.0,74.789,0.0,143.485,0.001,-136.833,0.001,-36.024,0.0,-102.719,-170.0
2.526,0.001,-18.285,0.0,46.502,0.0,118.795,0.001,-172.987,0.001,-66.933,0.0,-130.643,-170.0
2.511,0.001,-45.452,0.0,-47.365,0.0,96.766,0.001,163.907,0.001,-102.105,0.0,-175.581,-170.0
2.496,0.001,-73.398,0.0,-60.853,0.0,74.385,0.001,148.165,0.001,-133.187,0.0,142.601,-170.0
2.482,0.001,-100.959,0.0,-63.228,0.0,48.666,0.001,134.795,0.001,-157.629,0.0,117.549,-170.0
2.468,0.001,-127.36,0.0,-65.089,0.0,18.162,0.001,120.022,0.001,-178.456,0.0,100.294,-170.0
2.454,0.001,-152.747,0.0,-68.526,0.0,-14.468,0.001,97.418,0.001,160.762,0.0,84.268,-170.0
2.44,0.001,-178.064,0.0,-75.463,0.0,-43.122,0.001,54.82,0.001,135.694,0.0,63.764,-170.0
2.426,0.001,155.765,0.0,-89.869,0.0,-66.872,0.001,7.965,0.001,103.163,0.0,27.798,-170.0
2.413,0.001,128.484,0.0,-121.239,0.0,-88.369,0.001,-16.92,0.001,67.452,0.0,-26.591,-170.0
2.4,0.001,100.672,0.0,-166.629,0.0,-110.728,0.001,-30.708,0.001,37.551,0.0,-63.259,-170.0
2.387,0.001,73.246,0.0,163.715,0.0,-136.986,0.001,-41.007,0.001,14.333,0.0,-84.371,-170.0
2.374,0.001,46.777,0.0,146.776,0.0,-168.394,0.001,-51.782,0.001,-5.933,0.0,-100.559,-170.0
62.832,6.402,-90.27,2.328,-90.162,0.974,-0.013,0.138,-85.601,0.38,91.998,0.59,179.597,-160.0
42.032,4.137,-90.415,1.503,-90.232,0.941,-0.001,0.202,-83.316,0.56,93.015,0.58,179.391,-160.0
31.578,2.958,-90.535,1.073,-90.297,0.895,0.033,0.262,-80.885,0.73,94.091,0.566,179.208,-160.0
25.289,2.217,-90.601,0.802,-90.347,0.833,0.005,0.316,-78.221,0.888,95.256,0.548,179.041,-160.0
21.088,1.697,-90.513,0.612,-90.318,0.755,-0.335,0.361,-75.199,1.028,96.585,0.525,178.879,-160.0
18.085,1.302,-90.159,0.468,-90.145,0.664,-1.453,0.397,-71.581,1.147,98.197,0.496,178.681,-160.0
15.83,0.984,-89.456,0.355,-89.698,0.564,-4.002,0.419,-66.899,1.236,100.221,0.463,178.411,-160.0
14.075,0.717,-88.392,0.261,-88.793,0.467,-8.771,0.425,-60.139,1.283,102.728,0.425,178.028,-160.0
12.671,0.49,-87.209,0.181,-87.301,0.379,-16.411,0.403,-48.48,1.275,105.631,0.383,177.518,-160.0
11.521,0.301,-86.526,0.112,-86.507,0.307,-27.381,0.315,-20.285,1.199,108.525,0.336,176.961,-160.0
10.562,0.152,-87.624,0.07,-93.684,0.253,-41.879,0.177,129.956,1.057,110.619,0.285,175.915,-160.0
9.751,0.044,-95.878,0.042,-65.845,0.218,-59.277,0.371,-126.351,0.867,110.851,0.237,174.972,-160.0
9.049,0.029,105.124,0.027,5.375,0.201,-77.288,0.339,-99.064,0.654,107.564,0.184,175.342,-160.0
8.323,0.072,88.491,0.046,49.989,0.189,-95.601,0.248,-83.604,0.421,94.185,0.116,177.687,-160.0
7.759,0.082,75.654,0.057,60.835,0.169,-108.962,0.155,-71.905,0.293,68.068,0.057,-174.007,-160.0
7.305,0.078,59.075,0.055,66.008,0.139,-121.776,0.074,-53.175,0.255,40.439,0.018,-119.936,-160.0
6.931,0.071,39.18,0.045,70.141,0.106,-137.924,0.032,16.182,0.238,20.255,0.035,-40.064,-160.0
6.614,0.063,17.351,0.03,75.684,0.08,-159.773,0.057,74.773,0.211,4.263,0.055,-27.594,-160.0
6.342,0.056,-5.753,0.014,90.913,0.064,173.408,0.079,88.933,0.175,-11.333,0.062,-22.781,-160.0
6.105,0.051,-30.113,0.007,174.073,0.057,146.245,0.084,95.034,0.135,-29.389,0.058,-19.263,-160.0
5.894,0.046,-55.472,0.016,-141.414,0.053,122.496,0.073,98.838,0.102,-52.768,0.045,-15.155,-160.0
5.706,0.043,-81.237,0.022,-133.435,0.048,101.92,0.053,102.123,0.081,-82.844,0.028,-7.349,-160.0
5.535,0.04,-106.677,0.024,-131.133,0.042,82.434,0.026,107.338,0.074,-114.64,0.012,22.447,-160.0
5.38,0.039,-131.053,0.021,-131.014,0.035,61.556,0.003,-158.059,0.074,-141.029,0.012,110.342,-160.0
5.238,0.037,-153.985,0.014,-132.936,0.028,36.81,0.024,-86.619,0.072,-161.616,0.022,133.065,-160.0
